사바, 98, 157
마하, 62, 152
카사, 80, 170
파바, 77, 196
아타, 57, 145
나자, 64, 198
타카, 85, 147
마가, 48, 176
차자, 43, 190
하파, 53, 167
타바, 51, 180
파파, 96, 145
라자, 92, 149
자라, 44, 170
나라, 85, 163
차가, 77, 190
파라, 71, 163
파파, 51, 173
카파, 98, 142
마하, 46, 170
타가, 91, 158
사나, 48, 163
다자, 42, 197
자라, 50, 166
라사, 42, 193
마바, 78, 197
파카, 61, 142
바사, 83, 175
차아, 84, 167
가가, 72, 171
마가, 80, 161
마마, 82, 140
차다, 83, 199
파바, 69, 184
하카, 71, 149
라사, 86, 179
하카, 69, 189
아파, 98, 194
라나, 56, 151
라나, 45, 172
사다, 89, 161
타차, 61, 189
바하, 41, 144
라라, 51, 157
라사, 52, 140
가바, 81, 159
자다, 44, 189
카라, 97, 191
자바, 99, 166
나가, 59, 185
카가, 81, 159
가다, 80, 185
카차, 40, 182
파파, 72, 167
카타, 86, 177
사아, 55, 178
가라, 93, 198
카아, 58, 190
사바, 50, 167
자자, 81, 183
다가, 72, 145
아차, 69, 141
타카, 81, 177
카다, 75, 163
차다, 85, 182
나차, 50, 189
가다, 45, 168
타하, 95, 184
마마, 97, 179
라마, 64, 168
파하, 61, 196
다마, 41, 168
나파, 70, 172
다다, 68, 159
다차, 52, 149
나파, 72, 177
자자, 68, 153
마자, 84, 142
라가, 88, 187
파바, 94, 161
차카, 51, 183
파아, 47, 192
카나, 96, 184
차차, 45, 180
아타, 85, 159
하카, 52, 179
라사, 71, 184
아차, 99, 152
마바, 48, 171
다나, 54, 154
하라, 48, 196
차카, 86, 182
자타, 41, 194
타나, 56, 163
타하, 50, 196
자나, 84, 151
바카, 83, 176
차카, 75, 173
마하, 89, 155
가자, 40, 164
아사, 55, 149
차사, 80, 164
아사, 66, 191
바파, 41, 165
가나, 88, 179
가아, 74, 163
하다, 97, 199
바자, 98, 159
다바, 95, 196
타라, 61, 144
자사, 69, 169
자다, 58, 171
자나, 49, 147
사파, 55, 172
차아, 79, 150
카파, 87, 160
바차, 91, 152
자나, 70, 153
자하, 76, 199
카하, 42, 140
자사, 95, 162
다카, 83, 193
사다, 63, 184
카가, 68, 152
가라, 71, 159
라아, 73, 166
다하, 62, 155
다나, 65, 163
타다, 95, 190
타아, 52, 150
파하, 58, 177
마가, 72, 196
파카, 65, 146
나사, 46, 199
자아, 79, 170
